unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
WIND01,14/06/2018,1,181.2,0,181.2,0,1,0,0
WIND02,14/06/2018,1,256.6,0,256.6,0,1,0,0
SOLAR01,14/06/2018,1,0.0,0,0.0,0,1,0,0
SOLAR02,14/06/2018,1,0.0,0,0.0,0,1,0,0
WIND01,14/06/2018,2,277.6,0,277.6,0,1,0,1
WIND02,14/06/2018,2,237.4,0,237.4,0,1,0,1
SOLAR01,14/06/2018,2,0.0,0,0.0,0,1,0,1
SOLAR02,14/06/2018,2,0.0,0,0.0,0,1,0,1
WIND01,14/06/2018,3,309.7,0,309.7,0,1,0,2
WIND02,14/06/2018,3,279.8,0,279.8,0,1,0,2
SOLAR01,14/06/2018,3,0.0,0,0.0,0,1,0,2
SOLAR02,14/06/2018,3,0.0,0,0.0,0,1,0,2
WIND01,14/06/2018,4,327.6,0,327.6,0,1,0,3
WIND02,14/06/2018,4,453.3,0,453.3,0,1,0,3
SOLAR01,14/06/2018,4,0.0,0,0.0,0,1,0,3
SOLAR02,14/06/2018,4,0.0,0,0.0,0,1,0,3
WIND01,14/06/2018,5,330.4,0,330.4,0,1,0,4
WIND02,14/06/2018,5,391.6,0,391.6,0,1,0,4
SOLAR01,14/06/2018,5,0.0,0,0.0,0,1,0,4
SOLAR02,14/06/2018,5,0.0,0,0.0,0,1,0,4
WIND01,14/06/2018,6,344.5,0,344.5,0,1,0,5
WIND02,14/06/2018,6,286.7,0,286.7,0,1,0,5
SOLAR01,14/06/2018,6,0.0,0,0.0,0,1,0,5
SOLAR02,14/06/2018,6,0.0,0,0.0,0,1,0,5
WIND01,14/06/2018,7,272.1,0,272.1,0,1,0,6
WIND02,14/06/2018,7,259.4,0,259.4,0,1,0,6
SOLAR01,14/06/2018,7,0.0,0,0.0,0,1,0,6
SOLAR02,14/06/2018,7,0.0,0,0.0,0,1,0,6
WIND01,14/06/2018,8,344.9,0,344.9,0,1,0,7
WIND02,14/06/2018,8,467.1,0,467.1,0,1,0,7
SOLAR01,14/06/2018,8,11.3,0,11.3,0,1,0,7
SOLAR02,14/06/2018,8,7.0,0,7.0,0,1,0,7
WIND01,14/06/2018,9,351.4,0,351.4,0,1,0,8
WIND02,14/06/2018,9,462.8,0,462.8,0,1,0,8
SOLAR01,14/06/2018,9,102.2,0,102.2,0,1,0,8
SOLAR02,14/06/2018,9,62.3,0,62.3,0,1,0,8
WIND01,14/06/2018,10,288.4,0,288.4,0,1,0,9
WIND02,14/06/2018,10,438.7,0,438.7,0,1,0,9
SOLAR01,14/06/2018,10,215.1,0,215.1,0,1,0,9
SOLAR02,14/06/2018,10,118.1,0,118.1,0,1,0,9
WIND01,14/06/2018,11,343.0,0,343.0,0,1,0,10
WIND02,14/06/2018,11,450.1,0,450.1,0,1,0,10
SOLAR01,14/06/2018,11,340.2,0,340.2,0,1,0,10
SOLAR02,14/06/2018,11,240.1,0,240.1,0,1,0,10
WIND01,14/06/2018,12,463.9,0,463.9,0,1,0,11
WIND02,14/06/2018,12,261.5,0,261.5,0,1,0,11
SOLAR01,14/06/2018,12,450.4,0,450.4,0,1,0,11
SOLAR02,14/06/2018,12,257.6,0,257.6,0,1,0,11
WIND01,14/06/2018,13,447.4,0,447.4,0,1,0,12
WIND02,14/06/2018,13,259.5,0,259.5,0,1,0,12
SOLAR01,14/06/2018,13,622.9,0,622.9,0,1,0,12
SOLAR02,14/06/2018,13,366.9,0,366.9,0,1,0,12
WIND01,14/06/2018,14,412.3,0,412.3,0,1,0,13
WIND02,14/06/2018,14,274.7,0,274.7,0,1,0,13
SOLAR01,14/06/2018,14,605.4,0,605.4,0,1,0,13
SOLAR02,14/06/2018,14,401.4,0,401.4,0,1,0,13
WIND01,14/06/2018,15,423.0,0,423.0,0,1,0,14
WIND02,14/06/2018,15,281.2,0,281.2,0,1,0,14
SOLAR01,14/06/2018,15,675.5,0,675.5,0,1,0,14
SOLAR02,14/06/2018,15,363.4,0,363.4,0,1,0,14
WIND01,14/06/2018,16,496.2,0,496.2,0,1,0,15
WIND02,14/06/2018,16,429.5,0,429.5,0,1,0,15
SOLAR01,14/06/2018,16,549.8,0,549.8,0,1,0,15
SOLAR02,14/06/2018,16,335.7,0,335.7,0,1,0,15
WIND01,14/06/2018,17,408.3,0,408.3,0,1,0,16
WIND02,14/06/2018,17,473.0,0,473.0,0,1,0,16
SOLAR01,14/06/2018,17,463.0,0,463.0,0,1,0,16
SOLAR02,14/06/2018,17,301.2,0,301.2,0,1,0,16
WIND01,14/06/2018,18,259.2,0,259.2,0,1,0,17
WIND02,14/06/2018,18,387.8,0,387.8,0,1,0,17
SOLAR01,14/06/2018,18,337.0,0,337.0,0,1,0,17
SOLAR02,14/06/2018,18,207.5,0,207.5,0,1,0,17
WIND01,14/06/2018,19,461.1,0,461.1,0,1,0,18
WIND02,14/06/2018,19,441.6,0,441.6,0,1,0,18
SOLAR01,14/06/2018,19,221.3,0,221.3,0,1,0,18
SOLAR02,14/06/2018,19,130.8,0,130.8,0,1,0,18
WIND01,14/06/2018,20,440.4,0,440.4,0,1,0,19
WIND02,14/06/2018,20,384.9,0,384.9,0,1,0,19
SOLAR01,14/06/2018,20,87.4,0,87.4,0,1,0,19
SOLAR02,14/06/2018,20,52.7,0,52.7,0,1,0,19
WIND01,14/06/2018,21,492.6,0,492.6,0,1,0,20
WIND02,14/06/2018,21,467.2,0,467.2,0,1,0,20
SOLAR01,14/06/2018,21,11.1,0,11.1,0,1,0,20
SOLAR02,14/06/2018,21,6.5,0,6.5,0,1,0,20
WIND01,14/06/2018,22,655.5,0,655.5,0,1,0,21
WIND02,14/06/2018,22,319.6,0,319.6,0,1,0,21
SOLAR01,14/06/2018,22,0.0,0,0.0,0,1,0,21
SOLAR02,14/06/2018,22,0.0,0,0.0,0,1,0,21
WIND01,14/06/2018,23,507.8,0,507.8,0,1,0,22
WIND02,14/06/2018,23,309.9,0,309.9,0,1,0,22
SOLAR01,14/06/2018,23,0.0,0,0.0,0,1,0,22
SOLAR02,14/06/2018,23,0.0,0,0.0,0,1,0,22
WIND01,14/06/2018,24,475.9,0,475.9,0,1,0,23
WIND02,14/06/2018,24,383.1,0,383.1,0,1,0,23
SOLAR01,14/06/2018,24,0.0,0,0.0,0,1,0,23
SOLAR02,14/06/2018,24,0.0,0,0.0,0,1,0,23
WIND01,15/06/2018,1,417.0,0,417.0,0,1,0,24
WIND02,15/06/2018,1,270.4,0,270.4,0,1,0,24
SOLAR01,15/06/2018,1,0.0,0,0.0,0,1,0,24
SOLAR02,15/06/2018,1,0.0,0,0.0,0,1,0,24
WIND01,15/06/2018,2,446.0,0,446.0,0,1,0,25
WIND02,15/06/2018,2,278.7,0,278.7,0,1,0,25
