Date,Hour,load,scenario,period
14/06/2018,1,7431.6,1,0
14/06/2018,1,6672.4,2,0
14/06/2018,1,7819.2,3,0
14/06/2018,1,8089.8,4,0
14/06/2018,1,8155.4,5,0
14/06/2018,1,8149.3,6,0
14/06/2018,1,8886.4,7,0
14/06/2018,1,9192.4,8,0
14/06/2018,1,8008.6,9,0
14/06/2018,1,8582.7,10,0
14/06/2018,1,9471.4,11,0
14/06/2018,1,8287.8,12,0
14/06/2018,1,9623.4,13,0
14/06/2018,1,9820.0,14,0
14/06/2018,1,9780.0,15,0
14/06/2018,1,10057.6,16,0
14/06/2018,1,8552.9,17,0
14/06/2018,1,10015.1,18,0
14/06/2018,1,9531.0,19,0
14/06/2018,1,9902.5,20,0
14/06/2018,1,9821.0,21,0
14/06/2018,1,10068.1,22,0
14/06/2018,1,8799.3,23,0
14/06/2018,1,8738.1,24,0
14/06/2018,1,9594.5,25,0
14/06/2018,1,9705.7,26,0
14/06/2018,1,10775.6,27,0
14/06/2018,1,9134.2,28,0
14/06/2018,1,9730.1,29,0
14/06/2018,1,10971.6,30,0
14/06/2018,1,9313.8,31,0
14/06/2018,1,10558.9,32,0
14/06/2018,1,11293.5,33,0
14/06/2018,1,10249.3,34,0
14/06/2018,1,10374.3,35,0
14/06/2018,1,10024.3,36,0
14/06/2018,1,10082.6,37,0
14/06/2018,1,11387.5,38,0
14/06/2018,1,10278.4,39,0
14/06/2018,1,10106.0,40,0
14/06/2018,1,11065.0,41,0
14/06/2018,1,10687.2,42,0
14/06/2018,1,10826.3,43,0
14/06/2018,1,10534.6,44,0
14/06/2018,1,10182.0,45,0
14/06/2018,1,11159.8,46,0
14/06/2018,1,11620.7,47,0
14/06/2018,1,10449.4,48,0
14/06/2018,1,11708.1,49,0
14/06/2018,1,11455.5,50,0
14/06/2018,1,11829.8,51,0
14/06/2018,1,9801.3,52,0
14/06/2018,1,11785.0,53,0
14/06/2018,1,12053.3,54,0
14/06/2018,1,10790.5,55,0
14/06/2018,1,11072.5,56,0
14/06/2018,1,12144.5,57,0
14/06/2018,1,10702.8,58,0
14/06/2018,1,10702.8,59,0
14/06/2018,1,11548.2,60,0
14/06/2018,1,10741.6,61,0
14/06/2018,1,12095.1,62,0
14/06/2018,1,12292.2,63,0
14/06/2018,1,11950.5,64,0
14/06/2018,1,11392.5,65,0
14/06/2018,1,10989.5,66,0
14/06/2018,1,10259.4,67,0
14/06/2018,1,11405.5,68,0
14/06/2018,1,11859.3,69,0
14/06/2018,1,10471.7,70,0
14/06/2018,1,12064.8,71,0
14/06/2018,1,10593.2,72,0
14/06/2018,1,10787.5,73,0
14/06/2018,1,11192.7,74,0
14/06/2018,1,12168.7,75,0
14/06/2018,1,12506.7,76,0
14/06/2018,1,12087.2,77,0
14/06/2018,1,12283.9,78,0
14/06/2018,1,10697.1,79,0
14/06/2018,1,11575.3,80,0
14/06/2018,1,12732.4,81,0
14/06/2018,1,10925.7,82,0
14/06/2018,1,12873.2,83,0
14/06/2018,1,11164.8,84,0
14/06/2018,1,12425.9,85,0
14/06/2018,1,11932.1,86,0
14/06/2018,1,12046.8,87,0
14/06/2018,1,13396.0,88,0
14/06/2018,1,12148.8,89,0
14/06/2018,1,12288.1,90,0
14/06/2018,1,12629.2,91,0
14/06/2018,1,12014.2,92,0
14/06/2018,1,13911.8,93,0
14/06/2018,1,12698.8,94,0
14/06/2018,1,13428.7,95,0
14/06/2018,1,13918.0,96,0
14/06/2018,1,14570.6,97,0
14/06/2018,1,13736.0,98,0
14/06/2018,1,13066.8,99,0
14/06/2018,1,14544.3,100,0
14/06/2018,2,6097.2,1,1
14/06/2018,2,5799.1,2,1
14/06/2018,2,6642.3,3,1
14/06/2018,2,6393.8,4,1
14/06/2018,2,7195.9,5,1
14/06/2018,2,8032.8,6,1
14/06/2018,2,8464.2,7,1
14/06/2018,2,7806.5,8,1
14/06/2018,2,8002.1,9,1
14/06/2018,2,8453.8,10,1
14/06/2018,2,8321.6,11,1
14/06/2018,2,8124.4,12,1
14/06/2018,2,8098.9,13,1
14/06/2018,2,7812.5,14,1
14/06/2018,2,8607.8,15,1
14/06/2018,2,8957.6,16,1
14/06/2018,2,8554.0,17,1
14/06/2018,2,7710.3,18,1
14/06/2018,2,8938.7,19,1
14/06/2018,2,8406.3,20,1
14/06/2018,2,8764.1,21,1
14/06/2018,2,8174.1,22,1
14/06/2018,2,8430.3,23,1
14/06/2018,2,8755.5,24,1
14/06/2018,2,9394.3,25,1
14/06/2018,2,8815.4,26,1
14/06/2018,2,8509.2,27,1
14/06/2018,2,9892.2,28,1
14/06/2018,2,9724.9,29,1
14/06/2018,2,8343.3,30,1
14/06/2018,2,10213.9,31,1
14/06/2018,2,10344.4,32,1
14/06/2018,2,9460.1,33,1
14/06/2018,2,8623.0,34,1
14/06/2018,2,8706.4,35,1
14/06/2018,2,9498.8,36,1
14/06/2018,2,9373.8,37,1
14/06/2018,2,9431.3,38,1
14/06/2018,2,9512.2,39,1
14/06/2018,2,9358.4,40,1
14/06/2018,2,9416.1,41,1
14/06/2018,2,10407.8,42,1
14/06/2018,2,10205.4,43,1
14/06/2018,2,9199.3,44,1
14/06/2018,2,10575.3,45,1
14/06/2018,2,9560.6,46,1
14/06/2018,2,10775.6,47,1
14/06/2018,2,10856.1,48,1
14/06/2018,2,10607.6,49,1
14/06/2018,2,10436.1,50,1
14/06/2018,2,9884.9,51,1
14/06/2018,2,9972.5,52,1
14/06/2018,2,10631.0,53,1
14/06/2018,2,10569.5,54,1
14/06/2018,2,9828.7,55,1
14/06/2018,2,10613.3,56,1
14/06/2018,2,11165.6,57,1
14/06/2018,2,10021.7,58,1
14/06/2018,2,9567.0,59,1
14/06/2018,2,9519.2,60,1
14/06/2018,2,11047.8,61,1
14/06/2018,2,10643.7,62,1
14/06/2018,2,9601.2,63,1
14/06/2018,2,10832.8,64,1
14/06/2018,2,10898.5,65,1
14/06/2018,2,11568.4,66,1
14/06/2018,2,10398.3,67,1
14/06/2018,2,9634.2,68,1
14/06/2018,2,10779.7,69,1
14/06/2018,2,10366.9,70,1
14/06/2018,2,10246.5,71,1
14/06/2018,2,9737.6,72,1
14/06/2018,2,10266.2,73,1
14/06/2018,2,10509.4,74,1
14/06/2018,2,10258.8,75,1
14/06/2018,2,11263.0,76,1
14/06/2018,2,11917.2,77,1
14/06/2018,2,9906.9,78,1
14/06/2018,2,11114.3,79,1
14/06/2018,2,11190.5,80,1
14/06/2018,2,10353.2,81,1
14/06/2018,2,12101.2,82,1
14/06/2018,2,10471.7,83,1
14/06/2018,2,11992.6,84,1
14/06/2018,2,10385.6,85,1
14/06/2018,2,11912.7,86,1
14/06/2018,2,11955.7,87,1
14/06/2018,2,11871.1,88,1
14/06/2018,2,11334.3,89,1
14/06/2018,2,10359.4,90,1
14/06/2018,2,12034.4,91,1
14/06/2018,2,11895.7,92,1
14/06/2018,2,10603.8,93,1
14/06/2018,2,11137.2,94,1
14/06/2018,2,11113.2,95,1
14/06/2018,2,11625.5,96,1
14/06/2018,2,13396.0,97,1
14/06/2018,2,13419.7,98,1
14/06/2018,2,13486.5,99,1
14/06/2018,2,15971.4,100,1
14/06/2018,3,5411.3,1,2
14/06/2018,3,5026.5,2,2
14/06/2018,3,5985.7,3,2
14/06/2018,3,6083.1,4,2
14/06/2018,3,7263.5,5,2
14/06/2018,3,7617.2,6,2
14/06/2018,3,6633.8,7,2
14/06/2018,3,7702.7,8,2
14/06/2018,3,6792.1,9,2
14/06/2018,3,7329.2,10,2
14/06/2018,3,8122.6,11,2
14/06/2018,3,7725.8,12,2
14/06/2018,3,6996.8,13,2
14/06/2018,3,7288.9,14,2
14/06/2018,3,6983.5,15,2
14/06/2018,3,8093.7,16,2
14/06/2018,3,7804.5,17,2
14/06/2018,3,8710.1,18,2
14/06/2018,3,8179.2,19,2
14/06/2018,3,8502.9,20,2
14/06/2018,3,8716.4,21,2
14/06/2018,3,7586.7,22,2
14/06/2018,3,8882.0,23,2
14/06/2018,3,8944.3,24,2
14/06/2018,3,8132.3,25,2
14/06/2018,3,8661.9,26,2
14/06/2018,3,8959.9,27,2
14/06/2018,3,9148.9,28,2
14/06/2018,3,9122.4,29,2
14/06/2018,3,8461.3,30,2
14/06/2018,3,9487.6,31,2
14/06/2018,3,9780.8,32,2
14/06/2018,3,8581.1,33,2
14/06/2018,3,9434.0,34,2
14/06/2018,3,9908.4,35,2
14/06/2018,3,9375.5,36,2
14/06/2018,3,8393.0,37,2
14/06/2018,3,9358.2,38,2
14/06/2018,3,8400.3,39,2
14/06/2018,3,8882.9,40,2
14/06/2018,3,8991.1,41,2
14/06/2018,3,9261.7,42,2
14/06/2018,3,9717.9,43,2
14/06/2018,3,9822.1,44,2
14/06/2018,3,9264.2,45,2
14/06/2018,3,10308.1,46,2
14/06/2018,3,8584.0,47,2
14/06/2018,3,9125.0,48,2
14/06/2018,3,8950.1,49,2
14/06/2018,3,9422.0,50,2
14/06/2018,3,10060.0,51,2
14/06/2018,3,10347.4,52,2
14/06/2018,3,9347.7,53,2
14/06/2018,3,10550.1,54,2
14/06/2018,3,9911.0,55,2
14/06/2018,3,10029.9,56,2
14/06/2018,3,10497.5,57,2
14/06/2018,3,10394.4,58,2
14/06/2018,3,9183.5,59,2
