unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
THERMAL01,14/06/2018,1,246.3,172.9,290.3,190.0,1,0,0
THERMAL02,14/06/2018,1,245.0,186.8,279.6,178.3,1,0,0
THERMAL03,14/06/2018,1,301.3,193.6,311.8,187.3,1,0,0
THERMAL04,14/06/2018,1,394.4,346.4,480.2,276.9,1,0,0
THERMAL05,14/06/2018,1,422.6,311.6,424.0,308.7,1,0,0
THERMAL06,14/06/2018,1,1555.7,1069.2,1467.0,1086.5,1,0,0
THERMAL07,14/06/2018,1,1085.5,936.1,1156.4,867.9,1,0,0
THERMAL08,14/06/2018,1,1102.8,956.5,1284.8,857.3,1,0,0
THERMAL09,14/06/2018,1,1224.9,923.4,1242.1,880.9,1,0,0
THERMAL10,14/06/2018,1,1554.6,579.8,1451.2,495.0,1,0,0
THERMAL11,14/06/2018,1,2064.4,780.0,2042.3,778.2,1,0,0
THERMAL12,14/06/2018,1,785.2,245.0,937.6,226.3,1,0,0
THERMAL13,14/06/2018,1,433.4,300.4,518.6,338.8,1,0,0
THERMAL14,14/06/2018,1,428.0,350.6,490.3,283.3,1,0,0
THERMAL15,14/06/2018,1,454.6,316.1,463.1,277.0,1,0,0
THERMAL16,14/06/2018,1,810.3,679.2,912.8,610.9,1,0,0
THERMAL17,14/06/2018,1,885.2,722.7,1040.2,660.5,1,0,0
THERMAL18,14/06/2018,1,1467.8,1078.7,1626.0,932.1,1,0,0
THERMAL19,14/06/2018,1,1089.9,825.4,1260.4,930.7,1,0,0
THERMAL20,14/06/2018,1,1202.2,881.1,1285.6,932.7,1,0,0
THERMAL21,14/06/2018,1,1245.9,936.0,1252.3,779.0,1,0,0
THERMAL22,14/06/2018,1,1164.6,854.9,1399.3,820.1,1,0,0
THERMAL23,14/06/2018,1,1340.9,799.6,1243.3,870.8,1,0,0
THERMAL24,14/06/2018,1,1179.3,626.4,1446.3,530.6,1,0,0
THERMAL25,14/06/2018,1,2115.1,649.0,2602.3,492.2,1,0,0
THERMAL01,14/06/2018,2,282.9,195.9,289.1,187.3,1,0,1
THERMAL02,14/06/2018,2,288.7,168.7,278.9,181.9,1,0,1
THERMAL03,14/06/2018,2,264.9,207.3,296.6,207.2,1,0,1
THERMAL04,14/06/2018,2,429.6,327.8,439.5,328.8,1,0,1
THERMAL05,14/06/2018,2,477.3,351.6,467.3,311.8,1,0,1
THERMAL06,14/06/2018,2,1294.7,985.1,1514.4,978.6,1,0,1
THERMAL07,14/06/2018,2,1303.1,822.8,1300.1,949.4,1,0,1
THERMAL08,14/06/2018,2,1122.9,911.9,1264.0,867.1,1,0,1
THERMAL09,14/06/2018,2,1247.8,900.4,1385.8,853.0,1,0,1
THERMAL10,14/06/2018,2,1402.7,519.4,1628.2,524.5,1,0,1
THERMAL11,14/06/2018,2,1916.3,808.9,1933.2,695.9,1,0,1
THERMAL12,14/06/2018,2,825.1,256.3,926.9,223.4,1,0,1
THERMAL13,14/06/2018,2,482.6,343.1,522.8,308.8,1,0,1
THERMAL14,14/06/2018,2,413.2,296.5,511.8,291.2,1,0,1
THERMAL15,14/06/2018,2,450.5,291.5,476.1,288.6,1,0,1
THERMAL16,14/06/2018,2,932.4,724.0,935.6,640.8,1,0,1
THERMAL17,14/06/2018,2,948.7,649.1,875.9,684.6,1,0,1
THERMAL18,14/06/2018,2,1405.3,1045.9,1650.6,1099.4,1,0,1
THERMAL19,14/06/2018,2,1249.2,893.3,1203.6,943.7,1,0,1
THERMAL20,14/06/2018,2,1128.1,983.2,1161.7,856.5,1,0,1
THERMAL21,14/06/2018,2,1339.9,929.6,1341.6,946.9,1,0,1
THERMAL22,14/06/2018,2,1130.0,820.6,1181.6,837.3,1,0,1
THERMAL23,14/06/2018,2,1323.6,879.1,1279.4,922.0,1,0,1
THERMAL24,14/06/2018,2,1412.7,519.9,1541.9,515.3,1,0,1
THERMAL25,14/06/2018,2,2243.1,582.5,2287.1,490.3,1,0,1
THERMAL01,14/06/2018,3,249.2,195.0,292.6,177.0,1,0,2
THERMAL02,14/06/2018,3,264.1,170.6,283.9,183.6,1,0,2
THERMAL03,14/06/2018,3,279.1,211.3,306.3,188.5,1,0,2
THERMAL04,14/06/2018,3,435.4,319.8,443.1,328.6,1,0,2
THERMAL05,14/06/2018,3,410.0,302.6,450.8,286.1,1,0,2
THERMAL06,14/06/2018,3,1572.2,1014.5,1366.3,996.4,1,0,2
THERMAL07,14/06/2018,3,1099.3,858.4,1167.7,894.4,1,0,2
THERMAL08,14/06/2018,3,1093.3,925.9,1379.4,800.6,1,0,2
THERMAL09,14/06/2018,3,1261.9,900.4,1181.4,845.1,1,0,2
THERMAL10,14/06/2018,3,1391.9,527.2,1447.3,470.6,1,0,2
THERMAL11,14/06/2018,3,1794.7,742.4,2201.9,704.6,1,0,2
THERMAL12,14/06/2018,3,861.9,237.0,775.2,226.3,1,0,2
THERMAL13,14/06/2018,3,411.8,343.3,452.3,293.9,1,0,2
THERMAL14,14/06/2018,3,456.5,340.4,440.4,299.2,1,0,2
THERMAL15,14/06/2018,3,474.3,307.4,452.3,321.6,1,0,2
THERMAL16,14/06/2018,3,818.2,674.1,944.1,590.8,1,0,2
THERMAL17,14/06/2018,3,857.6,721.5,942.2,683.5,1,0,2
THERMAL18,14/06/2018,3,1486.7,1026.3,1609.2,1004.1,1,0,2
THERMAL19,14/06/2018,3,1247.0,807.9,1246.1,872.4,1,0,2
THERMAL20,14/06/2018,3,1212.0,913.9,1361.1,945.9,1,0,2
THERMAL21,14/06/2018,3,1290.5,927.1,1258.6,927.0,1,0,2
THERMAL22,14/06/2018,3,1281.2,877.4,1196.9,914.5,1,0,2
THERMAL23,14/06/2018,3,1313.1,869.3,1235.9,778.5,1,0,2
THERMAL24,14/06/2018,3,1363.7,531.8,1476.3,538.5,1,0,2
THERMAL25,14/06/2018,3,2375.7,613.6,2476.4,516.2,1,0,2
THERMAL01,14/06/2018,4,292.6,202.6,282.8,190.6,1,0,3
THERMAL02,14/06/2018,4,292.0,164.4,302.6,163.0,1,0,3
THERMAL03,14/06/2018,4,277.8,191.0,291.3,186.9,1,0,3
THERMAL04,14/06/2018,4,432.5,340.5,466.3,298.0,1,0,3
THERMAL05,14/06/2018,4,403.2,344.5,483.7,314.5,1,0,3
THERMAL06,14/06/2018,4,1467.2,1114.3,1554.6,1104.7,1,0,3
THERMAL07,14/06/2018,4,1240.7,804.0,1284.0,891.6,1,0,3
THERMAL08,14/06/2018,4,1300.2,822.8,1260.2,777.4,1,0,3
THERMAL09,14/06/2018,4,1128.4,801.2,1261.0,848.7,1,0,3
THERMAL10,14/06/2018,4,1313.5,521.9,1669.0,521.8,1,0,3
THERMAL11,14/06/2018,4,1983.0,897.3,2044.6,716.6,1,0,3
THERMAL12,14/06/2018,4,748.5,250.4,922.7,229.0,1,0,3
THERMAL13,14/06/2018,4,421.2,308.8,457.1,340.3,1,0,3
THERMAL14,14/06/2018,4,485.1,346.2,505.2,323.6,1,0,3
THERMAL15,14/06/2018,4,488.5,312.4,435.5,333.5,1,0,3
THERMAL16,14/06/2018,4,891.8,650.9,847.2,609.2,1,0,3
THERMAL17,14/06/2018,4,841.7,671.7,901.0,696.1,1,0,3
THERMAL18,14/06/2018,4,1332.4,1059.6,1370.8,1072.2,1,0,3
THERMAL19,14/06/2018,4,1219.8,837.0,1372.3,949.9,1,0,3
THERMAL20,14/06/2018,4,1262.1,887.6,1145.6,852.9,1,0,3
THERMAL21,14/06/2018,4,1242.1,807.1,1172.9,953.9,1,0,3
THERMAL22,14/06/2018,4,1329.3,836.6,1207.4,935.6,1,0,3
THERMAL23,14/06/2018,4,1206.4,807.9,1368.7,825.0,1,0,3
THERMAL24,14/06/2018,4,1228.6,560.8,1524.1,523.1,1,0,3
THERMAL25,14/06/2018,4,2172.3,661.2,2588.8,452.2,1,0,3
THERMAL01,14/06/2018,5,241.7,181.3,305.7,185.7,1,0,4
THERMAL02,14/06/2018,5,273.0,197.0,256.3,168.5,1,0,4
THERMAL03,14/06/2018,5,294.3,227.5,307.7,185.3,1,0,4
THERMAL04,14/06/2018,5,403.3,325.3,496.0,279.0,1,0,4
THERMAL05,14/06/2018,5,388.3,287.0,470.1,335.1,1,0,4
THERMAL06,14/06/2018,5,1298.0,1078.6,1385.4,1042.1,1,0,4
THERMAL07,14/06/2018,5,1321.2,812.7,1185.3,809.9,1,0,4
THERMAL08,14/06/2018,5,1275.1,933.2,1192.0,918.3,1,0,4
THERMAL09,14/06/2018,5,1236.8,851.3,1334.5,924.1,1,0,4
THERMAL10,14/06/2018,5,1546.9,615.1,1536.0,549.8,1,0,4
THERMAL11,14/06/2018,5,1742.0,878.2,2099.3,765.3,1,0,4
THERMAL12,14/06/2018,5,807.1,255.6,929.9,200.6,1,0,4
THERMAL13,14/06/2018,5,420.0,324.9,516.9,331.6,1,0,4
THERMAL14,14/06/2018,5,490.3,307.1,495.5,287.3,1,0,4
THERMAL15,14/06/2018,5,466.9,313.5,509.9,303.2,1,0,4
THERMAL16,14/06/2018,5,936.9,611.1,882.8,638.6,1,0,4
THERMAL17,14/06/2018,5,920.9,635.8,851.1,580.7,1,0,4
THERMAL18,14/06/2018,5,1374.8,1010.5,1349.2,1083.3,1,0,4
THERMAL19,14/06/2018,5,1206.2,847.7,1260.2,906.2,1,0,4
THERMAL20,14/06/2018,5,1111.2,961.4,1288.6,788.6,1,0,4
THERMAL21,14/06/2018,5,1225.0,903.4,1410.5,910.2,1,0,4
THERMAL22,14/06/2018,5,1358.8,934.0,1369.8,946.0,1,0,4
THERMAL23,14/06/2018,5,1160.7,893.7,1251.9,930.4,1,0,4
THERMAL24,14/06/2018,5,1369.4,512.6,1581.3,548.7,1,0,4
THERMAL25,14/06/2018,5,2166.4,588.3,2287.3,480.2,1,0,4
THERMAL01,14/06/2018,6,290.6,186.9,307.3,171.0,1,0,5
THERMAL02,14/06/2018,6,241.8,174.7,285.2,175.6,1,0,5
THERMAL03,14/06/2018,6,313.2,210.9,330.0,200.2,1,0,5
THERMAL04,14/06/2018,6,398.6,350.4,422.8,300.5,1,0,5
THERMAL05,14/06/2018,6,433.4,349.0,488.4,279.0,1,0,5
THERMAL06,14/06/2018,6,1464.0,1116.3,1371.2,1052.6,1,0,5
THERMAL07,14/06/2018,6,1263.9,857.6,1333.6,913.9,1,0,5
THERMAL08,14/06/2018,6,1294.0,966.3,1208.2,866.7,1,0,5
THERMAL09,14/06/2018,6,1196.2,878.8,1252.4,934.0,1,0,5
THERMAL10,14/06/2018,6,1336.0,567.8,1503.1,466.6,1,0,5
THERMAL11,14/06/2018,6,2095.7,880.6,2214.7,661.7,1,0,5
THERMAL12,14/06/2018,6,859.8,268.8,922.7,214.9,1,0,5
THERMAL13,14/06/2018,6,427.1,315.0,486.8,308.9,1,0,5
THERMAL14,14/06/2018,6,413.8,338.9,464.9,278.4,1,0,5
THERMAL15,14/06/2018,6,441.0,332.3,492.5,283.8,1,0,5
THERMAL16,14/06/2018,6,847.4,622.8,975.4,699.5,1,0,5
THERMAL17,14/06/2018,6,952.6,645.0,953.8,584.4,1,0,5
THERMAL18,14/06/2018,6,1428.8,1060.8,1457.2,1034.4,1,0,5
THERMAL19,14/06/2018,6,1249.1,971.8,1284.6,791.7,1,0,5
THERMAL20,14/06/2018,6,1231.2,843.1,1270.5,819.6,1,0,5
THERMAL21,14/06/2018,6,1148.3,878.8,1228.3,896.8,1,0,5
THERMAL22,14/06/2018,6,1195.3,943.4,1349.9,841.4,1,0,5
THERMAL23,14/06/2018,6,1198.4,965.5,1334.8,896.1,1,0,5
THERMAL24,14/06/2018,6,1165.2,588.6,1370.3,505.0,1,0,5
THERMAL25,14/06/2018,6,1963.0,644.4,2176.2,487.9,1,0,5
THERMAL01,14/06/2018,7,277.8,189.1,309.3,167.3,1,0,6
THERMAL02,14/06/2018,7,285.6,182.9,277.7,183.7,1,0,6
THERMAL03,14/06/2018,7,298.8,217.7,330.1,197.1,1,0,6
THERMAL04,14/06/2018,7,465.8,350.5,495.1,304.2,1,0,6
THERMAL05,14/06/2018,7,438.6,333.5,485.8,290.8,1,0,6
THERMAL06,14/06/2018,7,1551.8,1100.0,1442.1,1064.6,1,0,6
THERMAL07,14/06/2018,7,1101.4,969.3,1364.8,943.6,1,0,6
THERMAL08,14/06/2018,7,1243.2,850.1,1146.5,776.7,1,0,6
THERMAL09,14/06/2018,7,1222.2,838.6,1236.9,777.2,1,0,6
THERMAL10,14/06/2018,7,1567.6,523.3,1598.6,487.0,1,0,6
THERMAL11,14/06/2018,7,1778.9,859.9,2134.1,730.1,1,0,6
THERMAL12,14/06/2018,7,709.7,226.0,776.2,197.5,1,0,6
THERMAL13,14/06/2018,7,480.6,298.7,457.9,328.2,1,0,6
THERMAL14,14/06/2018,7,414.7,318.9,523.5,298.8,1,0,6
THERMAL15,14/06/2018,7,424.4,328.1,502.5,325.3,1,0,6
THERMAL16,14/06/2018,7,831.3,679.6,897.4,673.8,1,0,6
THERMAL17,14/06/2018,7,979.1,700.2,982.0,583.3,1,0,6
THERMAL18,14/06/2018,7,1327.5,1175.8,1417.5,1124.5,1,0,6
THERMAL19,14/06/2018,7,1239.6,896.3,1166.2,806.7,1,0,6
THERMAL20,14/06/2018,7,1211.1,842.4,1337.1,793.9,1,0,6
THERMAL21,14/06/2018,7,1156.2,839.2,1339.1,918.8,1,0,6
THERMAL22,14/06/2018,7,1225.3,939.4,1310.5,849.0,1,0,6
THERMAL23,14/06/2018,7,1344.7,835.7,1279.0,847.3,1,0,6
THERMAL24,14/06/2018,7,1351.8,603.7,1330.4,509.8,1,0,6
THERMAL25,14/06/2018,7,2200.4,600.1,2454.4,446.7,1,0,6
THERMAL01,14/06/2018,8,246.2,182.4,292.6,166.8,1,0,7
THERMAL02,14/06/2018,8,268.2,182.1,296.5,190.5,1,0,7
THERMAL03,14/06/2018,8,291.3,212.4,331.5,184.2,1,0,7
THERMAL04,14/06/2018,8,445.4,347.4,415.2,322.9,1,0,7
THERMAL05,14/06/2018,8,474.8,313.5,458.9,299.3,1,0,7
THERMAL06,14/06/2018,8,1285.3,1177.2,1468.1,1079.0,1,0,7
THERMAL07,14/06/2018,8,1085.0,933.3,1303.9,777.2,1,0,7
THERMAL08,14/06/2018,8,1291.4,971.1,1316.8,867.6,1,0,7
THERMAL09,14/06/2018,8,1156.3,827.6,1337.8,936.1,1,0,7
THERMAL10,14/06/2018,8,1390.9,518.3,1438.8,475.4,1,0,7
THERMAL11,14/06/2018,8,1969.6,757.8,2246.5,727.1,1,0,7
THERMAL12,14/06/2018,8,764.3,251.8,816.3,196.2,1,0,7
THERMAL13,14/06/2018,8,418.4,318.9,484.2,305.2,1,0,7
THERMAL14,14/06/2018,8,424.8,304.9,476.8,301.1,1,0,7
THERMAL15,14/06/2018,8,469.6,300.0,484.8,328.3,1,0,7
THERMAL16,14/06/2018,8,865.0,611.1,1033.8,579.6,1,0,7
THERMAL17,14/06/2018,8,839.4,603.7,1021.5,645.9,1,0,7
